,car_id,amount,name,region,use_type,mileage
231,/rI4mLha8hqMpmwqrlG1thJr2,"₦ 14,700,000",Land Rover Range Rover Vogue 2017 Black,"Abuja (FCT), Jabi",42082 km,42082 km
232,/dzRjtXzN2ToV3zHUJYgVETbK,"₦ 1,470,000",Honda Pilot 2003 Black,"Lagos State, Surulere",365864 km,365864 km
233,/39x3Y3zMMCf0NHQWKGj2bILp,"₦ 2,100,000",Toyota 4-Runner 1999 Silver,"Lagos State, Yaba",335071 km,335071 km
234,/D7y0Do3VcE6srPebr1UNBcU,"₦ 4,305,000",Ford Escape 2014 Black,"Lagos State, Ikorodu",219193 km,219193 km
235,/5QxMB4qKvDCAfF4JMWLDHGro,"₦ 13,860,000",Toyota RAV4 SE 4dr SUV (2.5L 4cyl 6A) 2018 Blue,"Lagos State, Ikeja",125670 km,125670 km
236,/1hM336q5C3WgUjMXZNK0AMa9,"₦ 1,890,000",Ford F-150 2005 Blue,"Lagos State, Ojodu",313602 km,313602 km
237,/vcGh7CQnX4jG1KCyHnjPD8Z6,"₦ 7,350,000",Toyota Tundra CrewMax Limited 5.7L 2010 Gray,"Abuja (FCT), Garki 2",93737 km,93737 km
238,/1zE5NE6JbyHM8scWPgmWtOTT,"₦ 3,150,000",Honda Civic 2008 Gray,"Lagos State, Yaba",260950 km,260950 km
239,/yWt4IUE14sgoYmLXUm81ruqa,"₦ 892,500",Toyota Camry 1996 Gold,"Oyo State, Ibadan",387191 km,387191 km
240,/HjkgeQcsyh1ekowEXElThkK,"₦ 2,205,000",Nissan Armada 2004 Black,"Lagos State, Alimosho",219465 km,219465 km
241,/fJEsl9PpPjzFrg6OeLFkpnZR,"₦ 1,768,000",Honda Accord 2005 Silver,"Abuja (FCT), Mararaba",200704 km,200704 km
242,/i6BJP0TOoIhksaOM33jSVfmU,"₦ 2,310,000",Volkswagen Rabbit 2007 White,"Lagos State, Ikeja",243060 km,243060 km
243,/2IXcv2Mb2AvkRWKt3DzGeuS6,"₦ 3,120,000",Toyota Corolla 2006 Black,"Lagos State, Yaba",482800 km,482800 km
244,/f1XTQp8y9cjKAXMF6ay0cEQQ,"₦ 13,650,000",Mercedes-Benz C300 2015 White,"Ondo State, Akure",169600 km,169600 km
245,/b7q1Sgcq9kJOx96xGQiNgkaf,"₦ 3,150,000",Lexus IS 2006 Silver,"Lagos State, Yaba",383001 km,383001 km
246,/BbI9yKWX068QCYAt0Qti1EiS,"₦ 1,365,000",Toyota Camry 2002 Gold,"Ondo State, Akure",486400 km,486400 km
247,/zdsaWio85xRhlxau3VemApJe,"₦ 10,825,000",Mercedes-Benz S-Class S 550 2012 Silver,"Abuja (FCT), Garki 2",74903 km,74903 km
248,/pWTY2l6F8YkBpL3McWgnZAhZ,"₦ 1,365,000",Honda Pilot 2003 Blue,"Abuja (FCT), Wuse",264100 km,264100 km
249,/zMXrRyn6zUvPEukL8Igl3CPe,"₦ 1,785,000",Toyota Avensis 1.8 VVTi 2008 Blue,"Akwa Ibom State, Uyo",256487 km,256487 km
250,/dlomP1m8LDL6O6mYjm3J6fIQ,"₦ 3,150,000",Nissan Titan 2004 Black,"Lagos State, Ajah",316029 km,316029 km
251,/z3DxKWKeXxPZmv7bQ4vMB98q,"₦ 3,255,000",Chrysler 300 2009 Black,"Oyo State, Ibadan",145535 km,145535 km
